City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,cole harbour,44.6724,-63.4751,273.81,73,35,1.34,CA,1711943786
83,baijiantan,45.6333,85.1833,281.84,42,100,2.73,CN,1711943786
84,codrington,-38.2667,141.9667,296.15,54,100,3.88,AU,1711943744
85,ilulissat,69.2167,-51.1,269.16,80,75,3.09,GL,1711943726
86,kolwezi,-10.7148,25.4667,290.17,99,100,0.99,CD,1711943786
87,corner brook,48.9667,-57.9484,273.24,99,92,0.99,CA,1711943564
88,ghat,24.9647,10.1728,296.02,9,0,1.36,LY,1711943787
89,puerto natales,-51.7236,-72.4875,277.78,89,97,2.45,CL,1711943452
90,ostersund,63.1792,14.6357,274.4,100,100,3.09,SE,1711943550
91,tralee,52.2704,-9.7026,279.9,95,100,3.53,IE,1711943743
92,eyl,7.9803,49.8164,300.74,72,19,5.3,SO,1711943751
93,alaghsas,17.0187,8.0168,302.39,10,8,3.7,NE,1711943788
94,oppdal,62.5943,9.6912,273.5,97,100,1.17,NO,1711943788
95,cabagan,17.4333,121.75,306.64,38,10,2.4,PH,1711943788
96,nuuk,64.1835,-51.7216,275.49,48,20,5.14,GL,1711943640
97,sisimiut,66.9395,-53.6735,271.08,71,100,4.48,GL,1711943789
98,merizo village,13.2658,144.6691,304.46,87,98,7.82,GU,1711943789
99,port blair,11.6667,92.75,304.17,55,20,1.03,IN,1711943789
100,talara,-4.5772,-81.2719,294.95,85,88,2.24,PE,1711943789
101,hondomachi-hondo,32.45,130.2,291.59,64,0,1.94,JP,1711943789
102,crane,31.3974,-102.3501,298.11,17,100,2.95,US,1711943686
103,fort mcmurray,56.7268,-111.381,281.88,36,100,5.14,CA,1711943515
104,lucapa,-8.4192,20.7447,292.94,97,100,0.66,AO,1711943790
105,okha,53.5739,142.9478,272.63,96,100,4.98,RU,1711943790
106,kill devil hills,36.0307,-75.676,287.58,93,0,1.54,US,1711943672
107,kham sakae saeng,15.3322,102.1728,308.55,30,0,5.53,TH,1711943791
108,college,64.8569,-147.8028,275.33,79,100,6.69,US,1711943683
109,merrill,45.1805,-89.6835,275.31,86,0,0.0,US,1711943513
110,fort bragg,35.139,-79.006,294.06,60,0,2.57,US,1711943792
111,hadibu,12.65,54.0333,300.28,71,9,4.2,YE,1711943697
112,thompson,55.7435,-97.8558,265.24,62,75,1.03,CA,1711943710
113,bredasdorp,-34.5322,20.0403,290.19,64,61,5.74,ZA,1711943686
114,magdagachi,53.45,125.8,272.32,55,29,2.22,RU,1711943793
115,lompoc,34.6391,-120.4579,285.94,89,100,2.57,US,1711943716
116,juhaynah,26.6732,31.4976,291.33,30,14,2.54,EG,1711943793
117,armacao de buzios,-22.7469,-41.8817,297.18,92,5,2.01,BR,1711943794
118,outjo,-20.1167,16.15,291.07,75,30,2.23,NA,1711943794
119,yemva,62.59,50.8594,271.19,88,70,3.25,RU,1711943794
120,moron,-34.6534,-58.6198,292.47,67,98,10.28,AR,1711943794
121,hammerfest,70.6634,23.6821,266.4,93,100,5.66,NO,1711943733
122,zelenoborskiy,66.845,32.3622,266.47,95,100,4.1,RU,1711943795
123,dul'durga,50.6761,113.5931,278.24,35,96,2.21,RU,1711943795
124,pratt,37.6439,-98.7376,292.49,94,0,8.75,US,1711943795
125,udachny,66.4167,112.4,268.24,86,82,6.53,RU,1711943716
126,hermanus,-34.4187,19.2345,289.4,81,5,6.37,ZA,1711943697
127,reggane,26.7158,0.1714,295.61,16,72,3.11,DZ,1711943796
128,mujiayingzi,42.1167,118.7833,284.05,19,85,3.92,CN,1711943796
129,vilyuchinsk,52.9306,158.4028,274.3,98,100,2.9,RU,1711943694
130,hamilton,39.1834,-84.5333,290.77,86,75,4.63,US,1711943652
131,jumla,29.2747,82.1838,289.28,25,51,1.13,NP,1711943796
132,uturoa,-16.7333,-151.4333,301.19,80,97,10.24,PF,1711943688
133,batna,35.556,6.1741,290.71,50,63,3.72,DZ,1711943797
134,sao joao da barra,-21.6403,-41.0511,295.89,91,5,2.8,BR,1711943797
135,inhambane,-23.865,35.3833,296.18,81,98,5.0,MZ,1711943797
136,manakara,-22.1333,48.0167,295.88,93,90,1.81,MG,1711943709
137,sitka,57.0531,-135.33,280.09,57,75,6.17,US,1711943728
138,imeko,7.45,2.85,299.34,86,100,1.85,NG,1711943798
139,pampa del indio,-26.0647,-59.919,297.84,71,49,2.31,AR,1711943798
140,naha,26.2125,127.6811,299.3,78,75,7.2,JP,1711943626
141,port alfred,-33.5906,26.891,292.69,84,94,1.79,ZA,1711943721
142,oranjemund,-28.55,16.4333,288.78,93,3,4.08,NA,1711943799
143,yukhnov,54.7444,35.2297,284.47,82,100,4.06,RU,1711943799
144,antsiranana,-12.2787,49.2917,298.84,91,67,3.95,MG,1711943799
145,dudinka,69.4058,86.1778,250.19,96,99,0.89,RU,1711943800
146,saint-pierre,-21.3393,55.4781,298.97,78,0,3.09,RE,1711943702
147,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,88,75,4.47,RU,1711943697
148,youkounkoun,12.5333,-13.1333,301.1,48,58,2.8,GN,1711943800
149,tazovsky,67.4667,78.7,257.02,88,85,3.78,RU,1711943719
150,nantucket,41.2835,-70.0995,279.34,83,0,2.57,US,1711943728
151,taoudenni,22.6783,-3.9836,300.54,17,52,4.11,ML,1711943801
152,galliano,29.4422,-90.2992,295.93,88,0,2.57,US,1711943736
153,fale old settlement,-9.3852,-171.2468,302.93,74,45,6.14,TK,1711943801
154,port lincoln,-34.7333,135.8667,290.48,73,99,9.16,AU,1711943743
155,altenkunstadt,50.125,11.2503,286.3,84,100,2.27,DE,1711943801
156,polovinnoye,54.7914,65.9864,274.03,99,100,6.34,RU,1711943802
157,khandyga,62.6667,135.6,263.69,83,73,1.13,RU,1711943733
158,vishnyeva,54.7122,26.5225,284.35,82,73,3.53,BY,1711943802
159,matsubase,32.65,130.6667,295.37,46,3,3.03,JP,1711943802
160,brookings,44.3114,-96.7984,274.92,77,100,3.6,US,1711943622
161,bartica,6.4,-58.6167,299.33,89,55,0.99,GY,1711943803
162,cadale,2.7603,46.3222,301.92,75,23,4.67,SO,1711943751
